Programa de origem;Episódio;Título da thumb;Convidado;Arquivo;Situação no Drive;Como foi identificado
Anima Especial;#4;Como funciona o cérebro com TDAH;Alex Rocha;#4 - Alex Rocha.png;excluído da pasta;especial
Anima Especial;#5;O perigo da alfabetização precoce;João Lucas;#5 - João Lucas.png;excluído da pasta;playlist Anima Especial
Anima Especial;#7;Autismo, TDAH ou mutismo seletivo?;Natasha Ganem;#7 - Natasha Ganem.png;excluído da pasta;especial
Anima Especial;#8;Maternidade atípica;Andressa Du Costa;#8 - Andressa Du Costa.png;excluído da pasta;especial
Anima Especial;#9;Posicionamento digital na saúde;Camila Nardi;#9 - Camila Nardi.png;excluído da pasta;especial
Anima Especial;#10;Autismo feminino: o lado invisível;Elizangila Leite;#10 - Elizangila Leite.png;excluído da pasta;especial
Anima Especial;#11;Superdotação: a verdade escondida;Olzeni Ribeiro;#11 - Olzeni Ribeiro.png;excluído da pasta;especial
Anima Podcast Saúde;#2;Vida corrida x saúde mental;Ana Beatriz Barbosa;#2 - Ana Beatriz Barbosa.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#3;Não desista da maternidade;Talita Melo;#3 - Talita Melo.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#6;É doença ou falta de ferro?;Tuane Villela;#6 - Tuane Villela.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#12;Como educar crianças autistas;Mariana Vilas Boas;#12 - Mariana Vilas Boas.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#13;A verdade sobre o emagrecimento;Tamiris Rachid;#13 - Tamiris Rachid.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#14;Fé e ciência: o método Billings;Pâmela Schitine;#14 - Pâmela Schitine.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#15;A batalha da dor crônica;Flávia Nascimento;#15 - Flávia Nascimento.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#16;Medicina e espiritualidade;Bruno Farnetano;#16 - Bruno Farnetano.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#17;Como os hormônios afetam você;Diogo Viana;#17 - Diogo Viana.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#18;Emagrecer só com cirurgia?;Cris Alberti;#18 - Cris Alberti.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#19;Aumente a fertilidade de forma natural;Eduardo Honorato;#19 - Eduardo Honorato.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#20;A verdade sobre a maternidade;Bianca Quevedo;#20 - Bianca Quevedo.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#21;Saúde pélvica: cuidados e terapias;Michelle Paixão;#21 - Michelle Paixão.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#22;A saúde segundo Santa Hildegarda;Priscila Antunes;#22 - Priscila Antunes.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#23;Desfralde tardio e doenças;Aureanne Villacorta;#23 - Aureanne Villacorta.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#24;Fertilidade feminina sem mistérios;Filipe Duarte;#24 - Filipe Duarte.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#25;Não é só gordurinha no fígado;Anderson Brito;#25 - Anderson Brito.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#26;Sua saúde começa no intestino;Roberta Rigueira;#26 - Roberta Rigueira.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#27;Consultório médico de sucesso;Clara Morena;#27 - Clara Morena.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#28;Hormônios e a saúde feminina;Leonardo Jacobsen;#28 - Leonardo Jacobsen.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#29;O valor da vida humana;Carolina Delage;#29 - Carolina Delage.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#30;Infertilidade: quando buscar a terapia?;Felipe Magalhães;#30 - Felipe Magalhães.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#31;Câncer de pele: diagnóstico precoce;Caroline Brandão;#31 - Caroline Brandão.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#32;Dormir bem transforma tudo;Isabel Braga;#32 - Isabel Braga.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#33;Cuide bem do seu coração;Rodrigo Reis;#33 - Rodrigo Reis.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#34;A saúde mental do seu filho;Marcelo Masruha;#34 - Marcelo Masruha.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#35;Cuide bem dos seus olhos;Leonardo Fontana;#35 - Leonardo Fontana.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#36;Tudo sobre a saúde respiratória;Renato Azambuja;#36 - Renato Azambuja.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#37;Tudo sobre o Alzheimer;Henrique Cal;#37 - Henrique Cal.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#38;Tudo sobre a saúde infantil;Ana Carolina Goulart;#38 - Ana Carolina Goulart.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#39;Depressão: a doença do século XXI;Dario Leitão;#39 - Dario Leitão.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#40;Nutrição para cada temperamento;Carol Barros;#40 - Carol Barros.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#41;Endometriose: quando operar?;Lucas Vinhas;#41 - Lucas Vinhas.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#42;Burnout;Paula Campozan;#42 - Paula Campozan.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#43;Varizes: causas e soluções;Carina Brandão;#43 - Carina Brandão.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#44;Ultrassom na gravidez;Heron Werner;#44 - Heron Werner.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#72;Lipedema não é só gordura;Georgia Dorigon;#72 - Georgia Dorigon.png;substituído pela versão correta do Anima Podcast Saúde;playlist Anima Podcast Saúde
Anima Podcast Saúde;#73;7 erros que te impedem de ser mãe;Moniele Cunha;#73 - Moniele Cunha.png;substituído pela versão correta do Anima Podcast Saúde;saude
