Programa;Episódio;Título;Convidado;YouTube;Canva (edição);Página Canva;Drive (ver);Drive (download);Download direto (PNG);Arquivo
Anima Podcast;#1;Crise de ansiedade: como controlar?;João Marcos Ferreira;https://youtu.be/Ztv9iBN5TLM;https://www.canva.com/design/DAHT5YKM5yA/edit?page=4;4;https://drive.google.com/file/d/1kDHOTd2ks_LN93IEckG2iFB87GkACrVW/view;https://drive.google.com/uc?export=download&id=1kDHOTd2ks_LN93IEckG2iFB87GkACrVW;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%231%20-%20Jo%C3%A3o%20Marcos%20Ferreira.png;#1 - João Marcos Ferreira.png
Anima Podcast;#2;Vida corrida x saúde mental;Ana Beatriz Barbosa;https://youtu.be/MO3rG5BBGH8;https://www.canva.com/design/DAHT5YKM5yA/edit?page=3;3;https://drive.google.com/file/d/1sJUehaIcI7f4RxTuBuffWQDqEMGNqtSS/view;https://drive.google.com/uc?export=download&id=1sJUehaIcI7f4RxTuBuffWQDqEMGNqtSS;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%232%20-%20Ana%20Beatriz%20Barbosa.png;#2 - Ana Beatriz Barbosa.png
Anima Podcast;#3;Não desista da maternidade;Talita Melo;https://youtu.be/c_ea3-0Uwxo;https://www.canva.com/design/DAHT5YKM5yA/edit?page=2;2;https://drive.google.com/file/d/1OQ_vH8qnQLRmYbtv2tGU7VvmYNe5IlM6/view;https://drive.google.com/uc?export=download&id=1OQ_vH8qnQLRmYbtv2tGU7VvmYNe5IlM6;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%233%20-%20Talita%20Melo.png;#3 - Talita Melo.png
Anima Podcast;#4;Como funciona o cérebro com TDAH;Alex Rocha;https://youtu.be/3i3jjUkiMSU;https://www.canva.com/design/DAHT5YKM5yA/edit?page=1;1;https://drive.google.com/file/d/13XWgJBS3GR-UJ6D4E8vzqS0E7WeF65Pi/view;https://drive.google.com/uc?export=download&id=13XWgJBS3GR-UJ6D4E8vzqS0E7WeF65Pi;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%234%20-%20Alex%20Rocha.png;#4 - Alex Rocha.png
Anima Podcast;#5;O perigo da alfabetização precoce;João Lucas;https://youtu.be/dgmgi4nrOAQ;https://www.canva.com/design/DAHT5NXToGQ/edit?page=25;25;https://drive.google.com/file/d/1yccG5F2vQYDnlo6PkupJa0zwoUuFk9i8/view;https://drive.google.com/uc?export=download&id=1yccG5F2vQYDnlo6PkupJa0zwoUuFk9i8;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%235%20-%20Jo%C3%A3o%20Lucas.png;#5 - João Lucas.png
Anima Podcast;#6;É doença ou falta de ferro?;Tuane Villela;https://youtu.be/BIOxZ_ZkYHU;https://www.canva.com/design/DAHT5NXToGQ/edit?page=24;24;https://drive.google.com/file/d/1lc0xNy5R0qGJuqKafJDiPXc2cgiUZP3k/view;https://drive.google.com/uc?export=download&id=1lc0xNy5R0qGJuqKafJDiPXc2cgiUZP3k;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%236%20-%20Tuane%20Villela.png;#6 - Tuane Villela.png
Anima Podcast;#7;Autismo, TDAH ou mutismo seletivo?;Natasha Ganem;https://youtu.be/nwgBRODgZ4c;https://www.canva.com/design/DAHT5IrBs84/edit?page=25;25;https://drive.google.com/file/d/1BcG_WeNZC_JNqI9NgoT6FElbCXzwcHXo/view;https://drive.google.com/uc?export=download&id=1BcG_WeNZC_JNqI9NgoT6FElbCXzwcHXo;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%237%20-%20Natasha%20Ganem.png;#7 - Natasha Ganem.png
Anima Podcast;#8;Maternidade atípica;Andressa Du Costa;https://youtu.be/I7dy9F2Beds;https://www.canva.com/design/DAHT5IrBs84/edit?page=24;24;https://drive.google.com/file/d/1KTFZ_IRAK2mb96KvxWzKjkm6Ea8Dbj8F/view;https://drive.google.com/uc?export=download&id=1KTFZ_IRAK2mb96KvxWzKjkm6Ea8Dbj8F;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%238%20-%20Andressa%20Du%20Costa.png;#8 - Andressa Du Costa.png
Anima Podcast;#9;Posicionamento digital na saúde;Camila Nardi;https://youtu.be/lXhQIMzq6yw;https://www.canva.com/design/DAHT5IrBs84/edit?page=23;23;https://drive.google.com/file/d/1iTxWT3SkrdPlxeO99jPR24JDXmE0oNM5/view;https://drive.google.com/uc?export=download&id=1iTxWT3SkrdPlxeO99jPR24JDXmE0oNM5;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%239%20-%20Camila%20Nardi.png;#9 - Camila Nardi.png
Anima Podcast;#10;Autismo feminino: o lado invisível;Elizangila Leite;https://youtu.be/bOHFBihZ9TQ;https://www.canva.com/design/DAHT5IrBs84/edit?page=22;22;https://drive.google.com/file/d/1kEX_PIvD5_5rb6ioJ08uMwzgXJ8Z1rrf/view;https://drive.google.com/uc?export=download&id=1kEX_PIvD5_5rb6ioJ08uMwzgXJ8Z1rrf;https://audiovisual-anima.github.io/thumbs-anima/anima-podcast/png/%2310%20-%20Elizangila%20Leite.png;#10 - Elizangila Leite.png
