programa,num,titulo,convidado,status,link
Anima Podcast,2,Como educar seu filho na fé católica,João Malheiro,,https://youtu.be/pWlDqLfYikI
Anima Podcast,3,Como não ter preguiça de estudar,José Roberto Mello Porto,,https://youtu.be/97LXXIQPUPQ
Anima Podcast,4,Como construir uma imagem de sucesso,João Menna,,https://youtu.be/yRljXJ7QSvY
Anima Podcast,5,Meu primeiro Podcast,Italo Marsili,,https://youtu.be/9s_d63aZQ6Y
Anima Podcast,6,"Espírito, alma e corpo: qual a diferença?",Sergio Resende,,https://youtu.be/Ciu1H5JRxt0
Anima Podcast,7,As finalidades da suplementação para transformar sua vida,Gil Gabriel Outeiro,,https://youtu.be/oibKqPCC8t4
Anima Podcast,8,Método natural contraceptivo em vez de pílula?,Dr. Filipe Duarte,,https://youtu.be/cawfbwZa1xk
Anima Podcast,9,A história por trás da política,Analine e Claudio Castro,,https://youtu.be/IQiy-93e1hE
Anima Podcast,10,"Igreja Católica na Nicarágua, o que está acontecendo?",Pedro Delfino,,https://youtu.be/5-JRCBtodw4
Anima Podcast,11,Os perigos do vício em pornografia e o que muda no cérebro,Diogo Wink,,https://youtu.be/rTp7Dlk0d5A
Anima Podcast,12,Como o anjo da guarda nos protege?,Pedro Siqueira,,https://youtu.be/Qo5IYb1X2AQ
Anima Podcast,13,"Filosofia, fé e razão, o que você precisa saber?",Renato Moraes,,https://youtu.be/BrQQVqjfskA
Anima Podcast,14,Conversão ao catolicismo e sua importância para os dias atuais,Henrique Lima,,https://youtu.be/BKn1nMPT278
Anima Podcast,15,"Saúde e espiritualidade, o que tem a ver?",Hugo Neves,,https://youtu.be/6KqfZpFccUk
Anima Podcast,16,Você sabe o que faz o Centro Dom Bosco?,Pedro Affonseca,,https://youtu.be/SD4_5IPd8yo
Anima Podcast,17,"Terapia de casal, fé, vida matrimonial e filhos",Dr. Jorge Rodrigues,,https://youtu.be/6NELGZmqlwY
Anima Podcast,18,"Maternidade, fé e profissão. Como é ser mãe de 7 filhos?",Samia Marsili,,https://youtu.be/7SfBfU4GFzg
Anima Podcast,19,Quem é o ator fora de Pantanal?,Juliano Cazarré,,https://youtu.be/qypgTgtNO-o
Anima Podcast,20,Como a medicina se alinha com a fé?,Guili Pech,,https://youtu.be/cGfSqKKEd7o
Anima Podcast,21,40 anos de viagem com a imagem de Fátima,Thomas McKenna,,https://youtu.be/qutx4X34raI
Anima Podcast,22,Por que seguir sua vocação?,Ciça Rego Macedo,,https://youtu.be/lcBmJk9pabw
Anima Podcast,23,Como ser uma empreendedora de sucesso,Rosana Braem,,https://youtu.be/RhWEzUQmJnk
Anima Podcast,24,Como ser uma pessoa mais interessante,Pedro Rocha,,https://youtu.be/AEhgopD5Pz4
Anima Podcast,25,"Exorcismo, quais atitudes devemos evitar",Pe. Thiago Bartoli,,https://youtu.be/_1sPZ5Db6ac
Anima Podcast,26,Humor e religião combinam?,Fábio Borges,,https://youtu.be/zu6Sqe5SHKE
Anima Podcast,27,Os melhores pitacos da internet,Mila Marsili,,https://youtu.be/M_5Z_Wny0us
Anima Podcast,28,"Guido Schäffer, o santo brasileiro surfista",Nazareth Schäffer,,https://youtu.be/Gx5nx35qllQ
Anima Podcast,29,Autismo e a importância da família,Dr. Thiago Castro,,https://youtu.be/AQQat7aEBA0
Anima Podcast,30,De lavrador a bispo,Dom Paulo Romão,,https://youtu.be/qSRTu_Bqr5A
Anima Podcast,31,Como desinflamar o corpo e alimentar a alma,Dra. Priscila Antunes,,https://youtu.be/eprw18ze2_E
Anima Podcast,32,Casei e separei. E agora?,Padre José Edilson,,https://youtu.be/uCCGFVEAvGk
Anima Podcast,33,"Como compus ""Tudo é do Pai?""",Fred Pacheco,,https://youtu.be/amjaKXeDVwY
Anima Podcast,34,O milagre pela intercessão de Nossa Senhora!,Frei Diego,,https://youtu.be/m0g5tkOD3NQ
Anima Podcast,35,Como encontro Deus na música,Adriana Arydes,,https://youtu.be/cW0MyuxqYio
Anima Podcast,36,Como seguir a vocação de Deus mesmo depois de um aborto,Padre Matheus Aquino,,https://youtu.be/I0Nt7fy0wRQ
Anima Podcast,37,Das drogas para Deus,Dunga,,https://youtu.be/D_pOWmySujQ
Anima Podcast,38,Salvei + 2mil vidas do abort0,Zezé Luz,,https://youtu.be/Q_SxDQCxISo
Anima Podcast,39,"Maldições hereditárias, como quebrá-las",André Prazeres,,https://youtu.be/6a40prMiTcw
Anima Podcast,40,Deus falou comigo pela música,Allyson Castro,,https://youtu.be/bGCFg7sdXz8
Anima Podcast,41,Minha filha é um Milagre,Letícia Cazarré,,https://youtu.be/yxOUzhGPuWY
Anima Podcast,42,Escola só de meninas ou meninos é melhor?,Adrianna de Abreu,,https://youtu.be/vPRIYG6YGmw
Anima Podcast,43,Casamento fracassado tem jeito,Thiago Andrade,,https://youtu.be/seb8t23GXNs
Anima Podcast,44,Vape é melhor ou pior que cigarro?,Alexandre Milagres,,https://youtu.be/QA7vFo0j9vA
Anima Podcast,72,Como não ser uma presa fácil?,Jeciandro Pessoa,,https://youtu.be/OgtVp7s7VCU
