num,titulo,convidado,canal_principal,canal_saude,thumb_na_lista,status
1,"Por que decidimos fazer o Anima Saúde? (sem ""Ep #"" no título, 28 min — provável #1)",Berthaldo e Kenya,https://youtu.be/P-NwfMu6-B8,,não,SEM NÚMERO
2,Vida corrida X saúde mental: existe um equilíbrio?,Dra. Ana Beatriz Barbosa,https://youtu.be/MO3rG5BBGH8,https://youtu.be/VqNnz6NlA2k,sim (marcada como Anima Podcast),
3,Como eu fiz para não desistir da maternidade?,Dra. Talita Melo,https://youtu.be/c_ea3-0Uwxo,https://youtu.be/sCuBJTlhuAs,sim (marcada como Anima Podcast),
4,TDAH da infância à vida adulta,Dr. Raphael Rangel,https://youtu.be/DjPJYJFkepc,https://youtu.be/o7cLDbfxwEw,não,
5,Como aliviar cólicas e refluxos do seu bebê?,Dr. José Eduardo,https://youtu.be/1nafprfEnuA,https://youtu.be/oCysmcM3NAw,sim,
6,É doença ou só falta de ferro?,Dra. Tuane Villela,https://youtu.be/BIOxZ_ZkYHU,https://youtu.be/aAomOwA283s,sim (marcada como Anima Podcast),
7,Identifique um sinal de alerta para o autismo!,Dra. Angélica Ávila,https://youtu.be/Ql8gTuVdhDk,https://youtu.be/nk75BC7L090,sim,
8,Por que as pessoas estão TÃO ansiosas?,Dr. Bruno Lamoglia,https://youtu.be/ex-bbOYrNmY,https://youtu.be/RmY6r3sZxGo,sim,
9,Medicina com propósito desde a faculdade!,Gil Gabriel,https://youtu.be/aZBBR1B-S-U,https://youtu.be/TtHGdvUx4s8,sim,
10,Como aliviar dores crônicas,Dr. Leonardo Avila,https://youtu.be/OUXBPXvWKpE,https://youtu.be/f6gPwWNvQDo,sim,
11,Análise facial e os 4 temperamentos!,Dra. Clarissa Caramez,https://youtu.be/Iut9R3VPjbI,https://youtu.be/lBzF_ToyJ7Q,sim,
12,Como criar e educar crianças autistas,Dra. Mariana Vilas Boas,https://youtu.be/K5YHndQPkNs,https://youtu.be/KXU8KpgBsP4,sim (marcada como Anima Podcast),
13,Nutri e Mestre em Ciências fala a Verdade sobre Emagrecimento!,Dra. Tamiris Rachid,https://youtu.be/tSR6v05_DEs,https://youtu.be/8FIVIiPq0JA,sim (marcada como Anima Podcast),
14,Especialista em Bioética fala sobre concepção e fertilidade,Pâmela Schitine,https://youtu.be/4CNFTmkOqeE,https://youtu.be/zTLwUoWv-nY,sim (marcada como Anima Podcast),
15,A batalha diária da dor crônica,Dra. Flávia Nascimento,https://youtu.be/OHGcc5-DRpU,https://youtu.be/EJf2pvO65zU,sim (marcada como Anima Podcast),
16,Medicina e espiritualidade,Dr. Bruno Farnetano,https://youtu.be/wZPNFANzgsI,https://youtu.be/-Jko0tarEro,sim (marcada como Anima Podcast),
17,Como os hormônios afetam seu comportamento,Dr. Diogo Viana,https://youtu.be/03i7XWQSx74,,sim (marcada como Anima Podcast),
18,Diástase abdominal: como identificar e tratar,Cris Alberti,https://youtu.be/bzvtsxcB2N4,,sim (marcada como Anima Podcast),
19,Como aumentar a fertilidade de forma natural,Dr. Eduardo Honorato,https://youtu.be/NemdB5yDfO4,,sim (marcada como Anima Podcast),
20,Psicóloga conta toda a verdade sobre a maternidade,Dra. Bianca Quevedo,https://youtu.be/NTvwq18J82M,,sim (marcada como Anima Podcast),
21,"Saúde Pélvica: Disfunções, Terapias e Cuidados",Dra. Michelle Paixão,https://youtu.be/9OhtwcpKhqY,,sim (marcada como Anima Podcast),
22,Sabedoria de Santa Hildegarda para a sua saúde,Dra. Priscila Antunes,https://youtu.be/gOBVOrjqcW8,,sim (marcada como Anima Podcast),
23,Desfralde tardio e doenças: saiba a relação,Aureanne Villacorta,https://youtu.be/4viMm6EdCSE,,sim (marcada como Anima Podcast),
24,Saiba tudo sobre fertilidade natural,Filipe Duarte,https://youtu.be/N4ypltLGvm4,,sim (marcada como Anima Podcast),
25,"Saiba tudo sobre esteatose hepática, a gordura no fígado",Anderson Brito,https://youtu.be/-cOwNX9wwYI,,sim (marcada como Anima Podcast),
26,O impacto  das doenças inflamatórias intestinais na sua saúde,Roberta Rigueira,https://youtu.be/oVaMeIEwZcw,,sim (marcada como Anima Podcast),
27,Descomplique seu consultório,Clara Morena,https://youtu.be/S9MO3CZQLtc,,sim (marcada como Anima Podcast),
28,Entenda o poder dos hormônios para a saúde feminina,Dr. Leonardo Jacobsen,https://youtu.be/bKIaVqstvRs,,sim (marcada como Anima Podcast),
29,Reflexões médicas sobre o valor da vida humana,Dra. Carolina Delage,https://youtu.be/UlOHMw676s0,,sim (marcada como Anima Podcast),
30,A infertilidade também é desafio emocional,Felipe Magalhães,https://youtu.be/jvuTq8hytR8,,sim (marcada como Anima Podcast),
31,Prevenção e cura: Tudo sobre câncer de pele,Caroline Brandão,https://youtu.be/GPRtg_kwVZk,,sim (marcada como Anima Podcast),
32,Como dormir bem pode transformar sua vida,Dra. Isabel Braga,https://youtu.be/tvj54udXdzc,,sim (marcada como Anima Podcast),
33,Aprenda sobre a saúde do seu coração,Dr. Rodrigo Reis,https://youtu.be/3UieliKQi90,,sim (marcada como Anima Podcast),
34,Os problemas de saúde mental que seu filho pode ter,Dr. Marcelo Masruha,https://youtu.be/V4-mUPCkQZQ,,sim (marcada como Anima Podcast),
35,Enxergue o futuro: Cuide bem dos seus olhos,Dr.  Leonardo Fontana,https://youtu.be/OtKur3NXcuA,,sim (marcada como Anima Podcast),
36,Saúde Respiratória,Dr.  Renato Azambuja,https://youtu.be/4AD-aQZhzW4,,sim (marcada como Anima Podcast),
37,A Doença de Alzheimer,Dr. Henrique Cal,https://youtu.be/NSuZ5pkcNoY,,sim (marcada como Anima Podcast),
38,Saúde Infantil,Dra. Ana Carolina Goulart,https://youtu.be/IsbQ-eWGqzg,,sim (marcada como Anima Podcast),
39,Superando a depressão,Dr. Dario Leitão,https://youtu.be/DNJoE3Hkghk,,sim (marcada como Anima Podcast),
40,Alimentação e temperamentos,Drª Carol Barros,https://youtu.be/fEO-0upusZo,,sim (marcada como Anima Podcast),
41,O Impacto da cirurgia de endometriose na dor e na fertilidade,Dr. Lucas Vinhas,https://youtu.be/oypPw2mzMQM,,sim (marcada como Anima Podcast),
42,Síndrome de Burnout,Drª. Paula Campozan,https://youtu.be/0NKwFQhp52s,,sim (marcada como Anima Podcast),
43,Suas veias podem estar em risco!,Drª. Carina Brandão,https://youtu.be/NKNN4XZsHE8,,sim (marcada como Anima Podcast),
44,Ultrassom na gravidez: quando e por quê?,Dr. Heron Werner,https://youtu.be/dz8NPQAx2kY,,sim (marcada como Anima Podcast),
45,Controle sua Ansiedade!,Dr. João Marcos,,https://youtu.be/Qov3ZQQMomI,não,
46,Transição menopausal - Climatério,Dra. Isabela Bussade,,https://youtu.be/phZohDqtjhs,sim,
47,Psicologia dos hábitos,Aline Cantarelli,,https://youtu.be/BftLTzYV5UQ,sim,
48,Cuidados com a pele na gestação o que pode e o que NÃO pode,Dr. Bruno Messias,,https://youtu.be/UjqT1GkZc3g,sim,
49,Você está inflamada !,Dra.  Géssica Andrade,,https://youtu.be/zjVIILeHO4s,sim,
50,O Segredo da Longevidade: Melhore sua saúde cardiovascular,Dra. Erika Vidal,,https://youtu.be/c_GM_AichRU,sim,
51,CARDIO vs. MUSCULAÇÃO: O que priorizar para SAIR do Sedentarismo?,Tony Geremias,,https://youtu.be/rmStVMjdBQA,sim,
52,Câncer de Intestino: Sinais de Risco e Como Prevenir,Dra. Clarisse Casali,,https://youtu.be/Fj00CaWzB2A,sim,
53,Anticoncepcional NÃO TRATA SOP e Endometriose?,Dr. Gabriel Arreguy,,https://youtu.be/Z1vPnDNOilQ,sim,
54,Como se libertar do vício em nicotina,Dr. Lourenço Alencar e Luísa Peleja,,https://youtu.be/cXpBnC7f_Ks,sim,
55,"DIABETES: Sinais de Alerta, Tipos e a Verdade Sobre a Doença",Dr. Rodrigo Mendes,,https://youtu.be/zIbem2D7O_I,sim,
56,Dor na relação sexual e o que você precisa saber para ter prazer,Dalila Faleiro,,https://youtu.be/qxQcaD8V_ac,sim,
57,Superando a Infertilidade com SOP: Estratégias para Engravidar,Drª Caroline Cristofari,,https://youtu.be/3pxWlpaUL3I,sim,
58,Como Identificar um NARCISISTA: Os Sinais Que Você Não Percebe,Rachel Rebouças,,https://youtu.be/W_Za0F3LEBE,sim,
59,FERTILIDADE: Mitos e Erros Comuns Que te Impedem de Engravidar,Fernanda Tofoli,,https://youtu.be/g_s-p93r8kg,sim,
60,Os segredos de uma GRAVIDEZ SAUDÁVEL,Drª Bruna Pitaluga,,https://youtu.be/5iIbyQG2veI,sim,
61,"Boca Inflamada, Corpo Doente: Como Seus Dentes Afetam Sua Saúde",Drª Bella Gurgel,,https://youtu.be/GcAbYiM7b3c,sim,
62,O que você precisa saber para uma GESTAÇÃO SAUDÁVEL,Dra. Elisabete Pinheiro,,https://youtu.be/VgUg4O-uoBA,sim,
63,Alzheimer: Descubra Como Proteger Sua Memória,Drª Rafaelly Faitanin,,https://youtu.be/q36VQ5bTN1w,sim,
64,MATERNIDADE REAL e saúde mental: O segredo para uma vida plena e feliz,Letícia Cazarré,,https://youtu.be/WxCNKKitVcs,sim,
65,"HIPERTENSÃO: Entenda a doença, seus riscos e como proteger o coração",Dr. Pedro Spineti,,https://youtu.be/bqIIDbc3pSE,sim,
66,Fertilidade Sem MISTÉRIO: Os Segredos Milenares da Medicina Chinesa,Érika Nery,,https://youtu.be/V6gYlFr5RcI,sim,
67,Parkinson: Os Sintomas Ocultos Que Você Precisa Conhecer,Dr. Pedro Góes,,https://youtu.be/uMglcOXrsxA,sim,
68,A Chave para uma VIDA PLENA após a LESÃO MEDULAR,Fran Romanini,,https://youtu.be/PCnJP3bjnVk,sim,
69,O FIM da ACNE: Descubra o tratamento que FUNCIONA de verdade,Dr. Rodrigo Borborema,,https://youtu.be/2oxN4_pHwJ8,sim,
70,Os PILARES para uma vida SAUDÁVEL e VIRTUOSA,Kyra Gracie,,https://youtu.be/efUeVACVoBE,sim,
71,Puerpério feliz: A rotina alimentar que evita a depressão pós-parto,Camila Komatsu,,https://youtu.be/-rZ3Cud_n6E,sim,
72,O que ninguém te contou sobre o LIPEDEMA,Drª Georgia Dorigon,https://youtu.be/WU4bCHMVpm4,,sim (marcada como Anima Podcast),
73,A Rota da FERTILIDADE: Como preparar seu corpo para ENGRAVIDAR,Moniele Cunha,https://youtu.be/poqREYKg0Oo,,sim (marcada como Anima Podcast),
74,O segredo para parar de ir à emergência com seu filho,Drª Renata Fróes,https://youtu.be/m0-luCqnDHI,,sim (marcada como Anima Podcast),
75,SAÚDE dos OLHOS: Como PRESERVAR sua visão,Dr. João Paulo Lomelino,https://youtu.be/9vn92mLV9QY,,sim (marcada como Anima Podcast),
76,Virtude da ORDEM: A Chave para ter uma VIDA SAUDÁVEL e FELIZ,João Malheiro,https://youtu.be/jDMZSktGsII,,sim (marcada como Anima Podcast),
77,AUTISMO e TDAH: O segredo da neurodivergência que a escola não vê,Carolina Scarabucci,https://youtu.be/9NASsAZudM8,,sim (marcada como Anima Podcast),
78,NUTRIÇÃO ONCOLÓGICA: Alimentos que ajudam a VENCER o CÂNCER,Paula Pratti,https://youtu.be/-0YbUDGjs-0,,sim (marcada como Anima Podcast),
79,Além da doença mental: o sofrimento existencial por trás do suicídio,Thiago Andrade,https://youtu.be/WX2MaWVMOB8,,sim (marcada como Anima Podcast),
80,O FIM DO METABOLISMO LENTO: O que NÃO TE CONTARAM sobre seu corpo,Dra. Flavia Verocai,https://youtu.be/-Lk3417I2CM,,sim (marcada como Anima Podcast),
81,"O Segredo do ""Super Sono"" Reparador",Dr. Gleison Guimarães,https://youtu.be/-pO1vLrBOVc,,sim (marcada como Anima Podcast),
82,,,,,não,FALTANDO
83,SEGREDOS DA FERTILIDADE: Como engravidar tendo DOENÇA AUTOIMUNE,Dra. Carolina Meireles,https://youtu.be/jf0KhTqo1sY,,sim (marcada como Anima Podcast),
84,Como preparar sua casa para o Natal,Ana Luisa Rego Macedo,https://youtu.be/mRoSuyWs7OQ,,sim (marcada como Anima Podcast),
85,Descubra o que suas UNHAS dizem sobre SUA SAÚDE,Dr. Miguel Ceccarelli,https://youtu.be/4ApDYi8vByw,,sim (marcada como Anima Podcast),
86,"Guia do VITILIGO: Causas, Mitos e Tratamentos que Funcionam",Dr. Paulo Luzio,https://youtu.be/490bxOEmmvc,,sim (marcada como Anima Podcast),
87,EMAGRECIMENTO Definitivo: O SEGREDO para acabar com o efeito sanfona,Dr. Luis Trocado,https://youtu.be/V-XlAv90XdM,,sim (marcada como Anima Podcast),
88,SONO RUIM na INFÂNCIA: As CONSEQUÊNCIAS que ninguém te conta,Dra. Larissa Abreu,https://youtu.be/2VGAFbSyEMI,,sim (marcada como Anima Podcast),
89,EPIDEMIA DE AUTISMO? A Verdade sobre o aumento de casos,Dra. Tielle Machado,https://youtu.be/m3qu6J4cK7E,,sim (marcada como Anima Podcast),
90,O Guia para conquistar a PELE DOS SONHOS,Dra. Larissa Botelho,https://youtu.be/J0u3MBhW4Hc,,sim (marcada como Anima Podcast),
91,Seu filho vive doente? 3 Sinais de que ele pode estar inflamado,Dra. Nathalia Vianna,https://youtu.be/9lgdH_iHy2c,,sim (marcada como Anima Podcast),
92,5 Sinais de alerta no DESENVOLVIMENTO DA FALA,Dra. Mariana de Oliveira,https://youtu.be/OB-WmP_38Rg,,sim (marcada como Anima Podcast),
93,ESCOLIOSE: Tudo o que você precisa saber,Dr. Pedro Paschoal,https://youtu.be/FKX6rR9FyTE,,sim (marcada como Anima Podcast),
94,SAÚDE da MULHER: O que não te contaram sobre hormônios e emoções,Dra. Juliana Neves,https://youtu.be/I3QOhZFNIRE,,sim (marcada como Anima Podcast),
95,Câncer de Mama: O que não te contaram,Dra. Marcela Nardi,https://youtu.be/d9BQAqCd1q0,,sim (marcada como Anima Podcast),
96,O FIM DOS EXAGEROS: A nova era da cirurgia plástica,Casal Plástica,https://youtu.be/UXcCV2QPW2Q,,sim (marcada como Anima Podcast),
97,FALSO NORMAL: O Laudo de Ultrassom que te Impede de Engravidar,Dra. Clariana Maurente,https://youtu.be/mA_BIqwURDY,,sim (marcada como Anima Podcast),
98,QUEDA DE CABELO: As causas que ninguém te conta,Dra. Graça Tavares,https://youtu.be/c86k7ixe7ss,,sim (marcada como Anima Podcast),
99,Labirintite ou tontura? O erro comum que quase todo mundo comete,Dr. Fernando Goslin,https://youtu.be/tdq6ZqwaTw8,,sim (marcada como Anima Podcast),
100,O que você precisa saber sobre BRUXISMO,Dra. Andrea Melo,https://youtu.be/jgZBHQKEaew,,sim (marcada como Anima Podcast),
101,"HERPES-ZÓSTER: O que é, como tratar e os segredos da prevenção",Dr. Murilo Drummond,https://youtu.be/fOKZstvQ2d8,,sim (marcada como Anima Podcast),
