ep,marca,convidado,gravidade,tipos,descricao,url
#318,Anima Podcast,Pe. Cássio,alta,"convidado-desproporcional, convidado-flutuando, convidado-qualidade",Frame de vídeo em close: cabeça do padre bem maior que a do casal (quase o dobro). | Foto é um retângulo de vídeo com corte reto na altura do peito (~y 985) e faixa escura abaixo; não assenta na base como o casal. | Mão em movimento borrada em primeiro plano e microfone cortado na borda direita.,https://audiovisual-anima.github.io/thumbs-anima/review/novos/e318.png
#314,Anima Podcast,João Malheiro,alta,"convidado-desproporcional, convidado-flutuando, convidado-qualidade, texto-sobreposto","Texto 'FAZ' de um lettering de vídeo gravado dentro da foto do convidado, à esquerda do rosto. | Linha 'CORAÇÃO EXPLODIR' encosta/entra no ombro e no rosto do convidado. | Retângulo de vídeo com bordas retas (esquerda e base ~y 990); não assenta na base. | Cabeça do convidado maior que a do casal.",https://audiovisual-anima.github.io/thumbs-anima/review/novos/e314.png
#313,Anima Podcast,Sabrina e Steven J. Gunnell,alta,"convidado-desproporcional, convidado-flutuando, texto-sobreposto","Foto da dupla é um retângulo pequeno que termina em ~y 690, no meio da tela; grande vazio preto abaixo até o rodapé. | 'QUE' do título e 'GUNNELL' da linha 'COM ...' entram na foto da dupla. | Dupla pequena em relação ao casal (cabeças com cerca de metade da altura).",https://audiovisual-anima.github.io/thumbs-anima/review/novos/e313.png
#312,Anima Podcast,Pe. Christian Mendoza,alta,"convidado-cortado, convidado-desproporcional","Close muito grande: cabeça do padre com cerca de 1,5x a do casal. | Lado direito da cabeça/orelha cortado pela borda direita da imagem.",https://audiovisual-anima.github.io/thumbs-anima/review/novos/e312.png
#310,Anima Podcast,Enrico Misasi e Reinaldo Alguz,alta,"convidado-desproporcional, convidado-flutuando, texto-desalinhado, texto-sobreposto",Foto da dupla é um retângulo que termina em ~y 670; grande vazio preto abaixo até o rodapé. | 'COISA' do título e 'REINALDO' da linha 'COM ...' entram na foto da dupla. | Dupla pequena em relação ao casal. | 'COM ENRICO MISASI E REINALDO / ALGUZ' quebra com sobrenome isolado na segunda linha.,https://audiovisual-anima.github.io/thumbs-anima/review/novos/e310.png
#305,Anima Podcast,Clara e Thomaz Magalhães,alta,"convidado-cortado, convidado-desproporcional, texto-sobreposto",Thomaz (à direita) com metade do rosto cortada pela borda direita da imagem. | Dupla menor que o casal e posicionada mais baixa (cabeças começam em ~y 450 contra ~250 do casal). | 'COM CLARA E THOMAZ MAGALHÃES' termina quase encostando no cabelo de Clara.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e305.png
#293,Anima Podcast,Maria Clara e Enrico Misasi,alta,convidado-cortado,Maria Clara (à direita) com metade do rosto cortada pela borda direita da imagem.,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e293.png
#279,Anima Podcast,Jayme Monjardim e Suzana Castelo,alta,"casal-problema, texto-sobreposto",Título 'FILME DE GUIDO SCHAFFER' invade o ombro/paletó do convidado (Jayme) | Linha 'COM JAYME MONJARDIM E SUZANA' encosta no braço do convidado; nome quebrado em duas linhas com 'CASTELO' isolado | Casal com enquadramento diferente do padrão (levemente maior/mais baixo que nas demais thumbs),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e279.png
#268,Anima Podcast,Guto Azevedo e Zulene Parente,alta,texto-sobreposto,Título 'ANIMA E SANTO FLOW' sobrepõe o cabelo/rosto da convidada (Zulene) | 'COM GUTO AZEVEDO E ZULENE' sobrepõe o blazer da convidada; nome quebrado em duas linhas com 'PARENTE' isolado,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e268.png
#260,Anima Podcast,Diogo e Vanessa,alta,"casal-problema, composicao","Sem nenhuma foto: nem casal nem convidado, só fundo preto com logo, título, nome e badge | Casal de apresentadores ausente",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e260.png
#234,Anima Podcast,José Roberto e Maria Carolina,alta,"badge-sobreposto, convidado-cortado, convidado-desproporcional, texto-sobreposto","Dupla muito grande: cabeças bem maiores que as do casal, topo da cabeça do homem quase na moldura verde. | 'COM JOSÉ ROBERTO E MARIA CAROLINA' quebrou em 2 linhas e a palavra 'MARIA' fica sobre o braço/ombro da convidada; título 'A CASTIDADE' quase encosta no cabelo dela. | Badge 'EPISÓDIO #234' sobrepõe a manga da convidada. | Homem da dupla cortado na borda direita (ombro e lateral fora do quadro).",https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e234.png
#221,Anima Podcast,Diogo Viana,alta,convidado-qualidade,Recorte do convidado com serrilhado/pixelização visível nas bordas do terno (lado esquerdo e ombros) e no topo da cabeça,https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e221.png
#212,Anima Podcast,Kenya Camerotte e Berthaldo Soares,alta,"convidado-cortado, convidado-desproporcional",A convidada (Kenya) está cortada na lateral direita da imagem: metade do rosto e do corpo fora do quadro | Dupla muito menor que o casal de apresentadores (cabeças com cerca de 2/3 do tamanho),https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e212.png
