Episódio;Marca;Título (thumb);Convidado;Status;Bloco;Canva (aberto);Página Canva;Drive (fechado);Arquivo Drive;PNG final (GitHub);YouTube;Título YouTube;Canva original;Observações
#318;Anima Podcast;Tenho vergonha de falar ao padre;Pe. Cássio;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;12;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e318.png;https://youtu.be/7lIj9cYSNyA;;;Ainda não está no Drive
#317;Anima Podcast;Era a única mulher entre 52 policiais;Martha Rocha;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;11;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e317.png;https://youtu.be/AaZiK2mBg6Q;;;Ainda não está no Drive
#316;Anima Podcast;Ninguém é mais odiado que Jesus;Júlia de Castro;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;4;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e316.png;https://youtu.be/7wjRW-ci8qs;;;Ainda não está no Drive
#315;Anima Podcast;O gênio que nunca foi a uma aula;Juan Fernando Sellés;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;10;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e315.png;https://youtu.be/78zDviYPVEk;;;Ainda não está no Drive
#314;Anima Podcast;O celibato faz o coração explodir;João Malheiro;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;9;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e314.png;https://youtu.be/5XrK5TauITc;;;Ainda não está no Drive
#313;Anima Podcast;Você vai ter que convencer meu marido;Sabrina e Steven J. Gunnell;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;8;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e313.png;https://youtu.be/Ua1IO2Oi4VY;;;Ainda não está no Drive
#312;Anima Podcast;Você vive para quê?;Pe. Christian Mendoza;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;2;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e312.png;https://youtu.be/_jgVHEkFtA8;;;Ainda não está no Drive
#311;Anima Podcast;Do SuperStar à missão pelo forró;Felipe Alcântara;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;7;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e311.png;https://youtu.be/wxS42sVAgOU;;;Ainda não está no Drive
#310;Anima Podcast;Política é coisa de católico?;Enrico Misasi e Reinaldo Alguz;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;6;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e310.png;https://youtu.be/KA2qHxslfPE;;;Ainda não está no Drive
#308;Anima Podcast;A lei do feminicídio não deveria existir;Eduarda Campopiano;Novo (montado nesta conversa);Novos episódios;https://www.canva.com/design/DAHU6Mrajks/edit;5;;;https://audiovisual-anima.github.io/thumbs-anima/review/novos/e308.png;https://youtu.be/94o5D8Mxmzk;;;Ainda não está no Drive
#307;Anima Podcast;A nova ordem mundial;Pe. Pablo Henrique;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;7;https://drive.google.com/file/d/1jXIQfFPXSefpJ28vECgzyG85KnLRGfiN/view;#307 - Pe. Pablo Henrique.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e307.png;https://youtu.be/IRE-Sev2iag;A nova ordem mundial: você está preparado? | Ep #307 | Com Pe. Pablo Henrique;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
#306;Anima Podcast;A fé transforma o negócio;Raiane Batista;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;6;https://drive.google.com/file/d/1T7Q6ST5xrC6d8LElnrrRAsLkytQpi8ip/view;#306 - Raiane Batista.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e306.png;https://youtu.be/97LIb3yLMyc;Como construir um NEGÓCIO sem abrir mão dos VALORES CRISTÃOS | Ep #306 | Com Raiane Batista;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
#305;Anima Podcast;A fé que nos sustentou;Clara e Thomaz Magalhães;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;5;https://drive.google.com/file/d/1Kd3Jc6InhdJPhYtvzZYecbU58WKYa2nS/view;#305 - Clara e Thomaz Magalhaes.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e305.png;https://youtu.be/FvLqzWQTwFg;Fé e Superação: O testemunho que emocionou o Papa | Ep #305 | Com Clara e Thomaz Magalhães;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
#304;Anima Podcast;Aparições de Maria nas Américas;Pe. Francisco Amaral;Casal novo aplicado;Bloco 7 (#301-307);https://www.canva.com/design/DAHT5QR6hjc/edit;4;https://drive.google.com/file/d/1UgcraQajbaUe7UOeEd47sLYwFxU3EP0T/view;#304 - Pe. Francisco Amaral.png;https://audiovisual-anima.github.io/thumbs-anima/review/casal-lote/e304.png;https://youtu.be/o4TOjTP4JPg;Tudo sobre as aparições de Nossa Senhora nas Américas | Ep #304 | Com Padre Francisco Amaral;https://www.canva.com/design/DAHREmcn0wA/edit;Drive tem a versão antiga (casal anterior)
