Ep;Título do episódio;Convidado;Status da thumb;YouTube (canal Saúde);YouTube (canal principal);Canva;Página Canva;Drive (ver);Download;Arquivo
#1;"Por que decidimos fazer o Anima Saúde? (sem ""Ep #"" no título, 28 min — provável #1)";Berthaldo e Kenya;Sem thumb;;https://youtu.be/P-NwfMu6-B8;;;;;
#2;Vida corrida X saúde mental: existe um equilíbrio?;Dra. Ana Beatriz Barbosa;Refeita no template Anima Saúde (set/2026);https://youtu.be/VqNnz6NlA2k;https://youtu.be/MO3rG5BBGH8;https://www.canva.com/design/DAHVfOFIveo/edit;1;https://drive.google.com/file/d/1sJUehaIcI7f4RxTuBuffWQDqEMGNqtSS/view;https://drive.google.com/uc?export=download&id=1sJUehaIcI7f4RxTuBuffWQDqEMGNqtSS;#2 - Ana Beatriz Barbosa.png
#3;Como eu fiz para não desistir da maternidade?;Dra. Talita Melo;Refeita no template Anima Saúde (set/2026);https://youtu.be/sCuBJTlhuAs;https://youtu.be/c_ea3-0Uwxo;https://www.canva.com/design/DAHVfOFIveo/edit;2;https://drive.google.com/file/d/1OQ_vH8qnQLRmYbtv2tGU7VvmYNe5IlM6/view;https://drive.google.com/uc?export=download&id=1OQ_vH8qnQLRmYbtv2tGU7VvmYNe5IlM6;#3 - Talita Melo.png
#4;TDAH da infância à vida adulta;Dr. Raphael Rangel;Refeita no template Anima Saúde (set/2026);https://youtu.be/o7cLDbfxwEw;https://youtu.be/DjPJYJFkepc;https://www.canva.com/design/DAHVfOFIveo/edit;3;https://drive.google.com/file/d/1Zt_XbX8mV4I5L-NmXI9Jsxq9YBjCwg3K/view;https://drive.google.com/uc?export=download&id=1Zt_XbX8mV4I5L-NmXI9Jsxq9YBjCwg3K;#4 - Raphael Rangel.png
#5;Como aliviar cólicas e refluxos do seu bebê?;Dr. José Eduardo;Refeita no template Anima Saúde (set/2026);https://youtu.be/oCysmcM3NAw;https://youtu.be/1nafprfEnuA;https://www.canva.com/design/DAHT5dd2JhQ/edit;1;https://drive.google.com/file/d/1BbLv9aTWC84wvqZ_3v-ADpY3Br6qzHDy/view;https://drive.google.com/uc?export=download&id=1BbLv9aTWC84wvqZ_3v-ADpY3Br6qzHDy;#5 - José Eduardo.png
#6;É doença ou só falta de ferro?;Dra. Tuane Villela;Refeita no template Anima Saúde (set/2026);https://youtu.be/aAomOwA283s;https://youtu.be/BIOxZ_ZkYHU;https://www.canva.com/design/DAHVfOFIveo/edit;4;https://drive.google.com/file/d/1lc0xNy5R0qGJuqKafJDiPXc2cgiUZP3k/view;https://drive.google.com/uc?export=download&id=1lc0xNy5R0qGJuqKafJDiPXc2cgiUZP3k;#6 - Tuane Villela.png
#7;Identifique um sinal de alerta para o autismo!;Dra. Angélica Ávila;Refeita no template Anima Saúde (set/2026);https://youtu.be/nk75BC7L090;https://youtu.be/Ql8gTuVdhDk;https://www.canva.com/design/DAHT5dd2JhQ/edit;2;https://drive.google.com/file/d/1PjtONBhpnxutm0EMiiA9563aU6-9zQQ_/view;https://drive.google.com/uc?export=download&id=1PjtONBhpnxutm0EMiiA9563aU6-9zQQ_;#7 - Angélica Ávila.png
#8;Por que as pessoas estão TÃO ansiosas?;Dr. Bruno Lamoglia;Refeita no template Anima Saúde (set/2026);https://youtu.be/RmY6r3sZxGo;https://youtu.be/ex-bbOYrNmY;https://www.canva.com/design/DAHT5dd2JhQ/edit;3;https://drive.google.com/file/d/1IJHRGSm-no7G8d6nCzMr7gPFW-_gAT4a/view;https://drive.google.com/uc?export=download&id=1IJHRGSm-no7G8d6nCzMr7gPFW-_gAT4a;#8 - Bruno Lamoglia.png
#9;Medicina com propósito desde a faculdade!;Gil Gabriel;Refeita no template Anima Saúde (set/2026);https://youtu.be/TtHGdvUx4s8;https://youtu.be/aZBBR1B-S-U;https://www.canva.com/design/DAHT5dd2JhQ/edit;4;https://drive.google.com/file/d/1v621vBp2rWYU9BTWQjn6iQvT-XBS6U1Q/view;https://drive.google.com/uc?export=download&id=1v621vBp2rWYU9BTWQjn6iQvT-XBS6U1Q;#9 - Gil Gabriel.png
#10;Como aliviar dores crônicas;Dr. Leonardo Avila;Refeita no template Anima Saúde (set/2026);https://youtu.be/f6gPwWNvQDo;https://youtu.be/OUXBPXvWKpE;https://www.canva.com/design/DAHT5dd2JhQ/edit;5;https://drive.google.com/file/d/1EPuyyHxpgij0TGbjtgO2T4-gsWnoIwpX/view;https://drive.google.com/uc?export=download&id=1EPuyyHxpgij0TGbjtgO2T4-gsWnoIwpX;#10 - Leonardo Avila.png
